project_number,donor_name,agency_name,recipient_name,year,usd_commitment,usd_disbursement,project_title,short_description,long_description
009-092922-B,Spain,Spanish Agency for International Development Co-operation,Ecuador,2015,0.205214,0.205214,OAS 2015 Ecuador - Civil Registration,OAS 2015 ECUADOR - CIVIL REGISTRATION,Registro Civil OEA 2015 Ecuador
009-092978-B,Spain,Spanish Agency for International Development Co-operation,Senegal,2015,0.443705,0.443705,UNICEF 2015 Senegal childhood - Strengthening the Civil Registration,UNICEF 2015 SENEGAL CHILDHOOD - STRENGTHENING THE CIVIL REGISTRATION,fortalecimiento del registro civil UNICEF 2015 Senegal Infancia
3180/A0/06/886/004,UNICEF,UNICEF,Niger,2015,0.125535,0.125535,6.4 CIVIL REGISTRATION SERVICES,6.4 CIVIL REGISTRATION SERVICES,6.4 CIVIL REGISTRATION SERVICES
1410/A0/05/005/005,UNICEF,UNICEF,Ethiopia,2015,0.17209,0.17209,005 BIRTH REGISTRATION,005 BIRTH REGISTRATION,005 BIRTH REGISTRATION
2850/A0/04/002/027,UNICEF,UNICEF,Mexico,2015,0.014254,0.014254,IR 2.3 BIRTH REGISTRATION AND EQUITY,IR 2.3 BIRTH REGISTRATION AND EQUITY,IR 2.3 BIRTH REGISTRATION AND EQUITY
0610/A0/08/123/004,UNICEF,UNICEF,Burundi,2015,0.0123389,0.0123389,BIRTH REGISTRATION,BIRTH REGISTRATION,BIRTH REGISTRATION
3390/A0/04/015/004,UNICEF,UNICEF,Peru,2015,0.00317598,0.00317598,REGISTRATION OF BIRTH OF INDIGENOUS CHIL,REGISTRATION OF BIRTH OF INDIGENOUS CHIL,REGISTRATION OF BIRTH OF INDIGENOUS CHIL
201406099,Germany,Bundesministerium f¸r Wirtschaftliche Zusammenarbeit und Entwicklung,Mozambique,2016,0,0.0641104,"Strengthening human rights of underprivileged population through enhancing civil registrations in Matola and Beira, Mocambique","STRENGTHENING HUMAN RIGHTS OF UNDERPRIVILEGED POPULATION THROUGH ENHANCING CIVIL REGISTRATIONS IN MATOLA AND BEIRA, MOCAMBIQUE","Strengthening human rights of underprivileged population through enhancing civil registrations in Matola and Beira, Mocambique"
6850/A0/03/001/016,UNICEF,UNICEF,Guinea-Bissau,2016,0.0270382,0.0270382,BIRTH REGISTRATION,BIRTH REGISTRATION,BIRTH REGISTRATION
108245,Canada,International Development Research Centre,"South of Sahara, regional",2016,0.00244104,0.000633846,Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems,CENTRE OF EXCELLENCE FOR CIVIL REGISTRATION AND VITAL STATISTICS (CRVS) SYSTEMS,"Registration of events, such as birth, death, causes of death, marriage, and divorce, is critical for improving maternal, newborn, child, and adolescent health. These statistics provide policymakers and practitioners with the necessary evidence to design"
108245,Canada,International Development Research Centre,"South of Sahara, regional",2016,0.0028313,0.00116648,Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems,CENTRE OF EXCELLENCE FOR CIVIL REGISTRATION AND VITAL STATISTICS (CRVS) SYSTEMS,"Registration of events, such as birth, death, causes of death, marriage, and divorce, is critical for improving maternal, newborn, child, and adolescent health. These statistics provide policymakers and practitioners with the necessary evidence to design"
108272,Canada,International Development Research Centre,"Bilateral, unspecified",2016,0.019098,0.000530783,"Centre of Excellence for CRVS Systems Activity Budget Line: Strengthening Country Level Evidence, Capacity and Exchange","CENTRE OF EXCELLENCE FOR CRVS SYSTEMS ACTIVITY BUDGET LINE: STRENGTHENING COUNTRY LEVEL EVIDENCE, CAPACITY AND EXCHANGE","Systematic registration of vital and civil events - including birth, death, causes of death, marriage, and divorce - is critical for improving maternal, newborn, child, and adolescent health. Integrated into existing health information systems, these stat"
108269,Canada,International Development Research Centre,"South of Sahara, regional",2016,0.00565867,0.000407726,Centre of Excellence for CRVS Systems Activity Budget Line: Building a Knowledge Base and Contributing to Global Tools and Standards,CENTRE OF EXCELLENCE FOR CRVS SYSTEMS ACTIVITY BUDGET LINE: BUILDING A KNOWLEDGE BASE AND CONTRIBUTING TO GLOBAL TOOLS AND STANDARDS,"Systematic registration of vital and civil events - including birth, death, causes of death, marriage, and divorce - is critical for improving maternal, newborn, child, and adolescent health. Integrated into existing health information systems, these stat"
D000306001,Canada,Global Affairs Canada,Ghana,2016,0,0.334993,Support to Child Protection Programme / Appui au Programme pour la protection des enfants,SUPPORT TO CHILD PROTECTION PROGRAMME / APPUI AU PROGRAMME POUR LA PROTECTION DES ENFANTS,"The project aims to better protect children from violence, exploitation, abuse, and discrimination by strengthening national child protection laws and policies, improving child and family welfare and justice services, and promoting positive and protective attitudes and behaviours towards children. The project includes: supporting the development of a National Child and Family Welfare Policy and a Juvenile Justice Policy; training child protection service providers on prevention measures and early child interventions; developing a revised social work curriculum; seeking the support of traditional and religious leaders for child protection, including child, early, and forced marriages; developing and implementing a comprehensive national birth registry with a specific focus on hard-to-reach northern areas; and helping the Domestic Violence and Victim Support Unit and selected courts become more child-friendly. The project focuses on the five most deprived regions of Ghana and expects to help 4.5 million children. / Le projet vise ‡ mieux protÈger les enfants contre la violence, l'exploitation, la maltraitance et la discrimination en renforÁant les lois et les politiques nationales sur la protection des enfants, en amÈliorant les services de justice et d'aide ‡ l'enfance et ‡ la famille, et en sensibilisant le public sur les attitudes et comportements positifs et protecteurs envers les enfants. Le projet appuiera le dÈveloppement d'une politique nationale sur l'aide sociale aux enfants et aux familles, ainsi qu'une politique de justice juvÈnile et offrira de la formation aux fournisseurs de services de protection de l'enfance en matiËre de prÈvention et d'interventions auprËs des enfants en bas ‚ge. Le projet offrira Ègalement un appui ‡ l'Èlaboration d'un programme de travail social rÈvisÈ; travaillera avec les chefs traditionnels et religieux ‡ l'Ègard de la protection des enfants, y compris la lutte contre le mariage d'enfants, le mariage prÈcoce et le mariage forcÈ; renforcera et mettra en oeuvre un registre national exhaustif des naissances en portant une attention particuliËre aux rÈgions du Nord qui sont difficilement accessibles, et finalement, formera les intervenants des unitÈs de soutien aux victimes et de lutte contre la violence domestique du service de police du Ghana et les magistrats de certains tribunaux ‡ Ítre plus favorables aux enfants. Le projet se concentre sur les cinq rÈgions les plus dÈfavorisÈes du Ghana et atteindra plus de 4,5 millions d'enfants vulnÈrables."
108271,Canada,International Development Research Centre,"South of Sahara, regional",2016,0.0059699,0.00114396,"Centre of Excellence for CRVS systems activity budget line: Contributing to global and regional level evidence, capacity, and exchange","CENTRE OF EXCELLENCE FOR CRVS SYSTEMS ACTIVITY BUDGET LINE: CONTRIBUTING TO GLOBAL AND REGIONAL LEVEL EVIDENCE, CAPACITY, AND EXCHANGE","Systematic registration of vital and civil events, such as birth, death, causes of death, marriage and divorce, is critical for improving maternal, newborn, child, and adolescent health. Integrated into existing health information systems, these statistics become valuable evidence, giving policymakers and practitioners the knowledge they need to review the circumstances leading to each maternal and child death, identify preventable factors, and take action where needed. However, such crucial information systems are lacking in many countries. It is estimated that one-third of the world's births and two-thirds of the world's deaths are not registered or are incorrectly certified. Where global norms, standards, tools, and promising practices exist, they are not readily accessible and useable to those who need them most. Funded by Global Affairs Canada and IDRC, and housed at IDRC, the Centre of Excellence for Civil Registration of Vital Statistics (CRVS) Systems will link knowledge seekers with information, tools, and expertise to facilitate the development and implementation of integrated CRVS systems. The Centre of Excellence will coordinate with existing expert groups to generate, consolidate, and disseminate information, including by developing an open-access electronic platform to make key resources readily accessible. It will facilitate exchange of good practices and capacity strengthening, and will play an important role in brokering technical assistance for countries needing more direct support. The Centre of Excellence will work closely with the Global Financing Facility in support of the Every Woman Every Child initiative to enable the development and implementation of CRVS systems plans as part of country-led investment cases for Global Financing Facility financing. This project will allow the Centre of Excellence to organize workshops, capacity-building events, seminars, conferences, and roundtables that bring together global and regional experts and stakeholders with a view to advancing the development and implementation of CRVS systems. It will support the organization of events (e.g. venues, logistics, etc.), participant attendance (e.g. airfare, accommodation, per diems, and incidentals for practitioners, experts, and institutions) from countries that are developing investment cases for Global Financing Facility financing, as well as from regional and/or global organizations where appropriate. Activities will serve to improve coordination and cooperation among global, regional, and country-level stakeholders, in addition to facilitating knowledge-sharing and best practices within and across regions."
108245,Canada,International Development Research Centre,"South Asia, regional",2016,0.000789564,0.000522321,Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems,CENTRE OF EXCELLENCE FOR CIVIL REGISTRATION AND VITAL STATISTICS (CRVS) SYSTEMS,"Registration of events, such as birth, death, causes of death, marriage, and divorce, is critical for improving maternal, newborn, child, and adolescent health. These statistics provide policymakers and practitioners with the necessary evidence to design"
108245,Canada,International Development Research Centre,"Bilateral, unspecified",2016,0.000202769,0.000202746,Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems,CENTRE OF EXCELLENCE FOR CIVIL REGISTRATION AND VITAL STATISTICS (CRVS) SYSTEMS,"Registration of events, such as birth, death, causes of death, marriage, and divorce, is critical for improving maternal, newborn, child, and adolescent health. These statistics provide policymakers and practitioners with the necessary evidence to design interventions and enact appropriate policies on maternal and child health. Many low- and middle-income countries, however, do not systematically collect such crucial information. It is estimated that one-third of the world's births and two-thirds of the world's deaths are not registered or are incorrectly certified. In many cases, global norms, standards, tools, and good practices are not readily accessible and useable to those who need them most.The project will establish the Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems to provide information, tools, and expertise to facilitate the development and implementation of integrated CRVS systems. Funded by Global Affairs Canada and the International Development Research Centre (IDRC), and based at IDRC, the Centre of Excellence will coordinate with existing expert groups to generate, consolidate, and share information and resources in an open and collaborative electronic platform. It will also assist countries needing more direct support by facilitating the exchange of good practices and capacity strengthening, and will play an important role brokering technical assistance for countries needing more direct support.The Centre of Excellence will work closely with the Global Financing Facility in support of the Every Woman Every Child initiative to enable the development and implementation of CRVS systems plans as part of country-led investment cases for financing by the Global Financing Facility."
108245,Canada,International Development Research Centre,"South of Sahara, regional",2016,0.00315833,0.00208943,Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems,CENTRE OF EXCELLENCE FOR CIVIL REGISTRATION AND VITAL STATISTICS (CRVS) SYSTEMS,"Registration of events, such as birth, death, causes of death, marriage, and divorce, is critical for improving maternal, newborn, child, and adolescent health. These statistics provide policymakers and practitioners with the necessary evidence to design"
108245,Canada,International Development Research Centre,"South of Sahara, regional",2016,0.00246264,0.00188467,Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems,CENTRE OF EXCELLENCE FOR CIVIL REGISTRATION AND VITAL STATISTICS (CRVS) SYSTEMS,"Registration of events, such as birth, death, causes of death, marriage, and divorce, is critical for improving maternal, newborn, child, and adolescent health. These statistics provide policymakers and practitioners with the necessary evidence to design"
108245,Canada,International Development Research Centre,"South of Sahara, regional",2016,0.00215797,0.0010875,Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems,CENTRE OF EXCELLENCE FOR CIVIL REGISTRATION AND VITAL STATISTICS (CRVS) SYSTEMS,"Registration of events, such as birth, death, causes of death, marriage, and divorce, is critical for improving maternal, newborn, child, and adolescent health. These statistics provide policymakers and practitioners with the necessary evidence to design"
108245,Canada,International Development Research Centre,"South of Sahara, regional",2016,0.00137119,0.000601971,Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems,CENTRE OF EXCELLENCE FOR CIVIL REGISTRATION AND VITAL STATISTICS (CRVS) SYSTEMS,"Registration of events, such as birth, death, causes of death, marriage, and divorce, is critical for improving maternal, newborn, child, and adolescent health. These statistics provide policymakers and practitioners with the necessary evidence to design"
108245,Canada,International Development Research Centre,"South of Sahara, regional",2016,0.000271314,8.81907e-05,Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems,CENTRE OF EXCELLENCE FOR CIVIL REGISTRATION AND VITAL STATISTICS (CRVS) SYSTEMS,"Registration of events, such as birth, death, causes of death, marriage, and divorce, is critical for improving maternal, newborn, child, and adolescent health. These statistics provide policymakers and practitioners with the necessary evidence to design"
108272,Canada,International Development Research Centre,"South of Sahara, regional",2016,0.0152784,0.000424627,"Centre of Excellence for CRVS Systems Activity Budget Line: Strengthening Country Level Evidence, Capacity and Exchange","CENTRE OF EXCELLENCE FOR CRVS SYSTEMS ACTIVITY BUDGET LINE: STRENGTHENING COUNTRY LEVEL EVIDENCE, CAPACITY AND EXCHANGE","Systematic registration of vital and civil events - including birth, death, causes of death, marriage, and divorce - is critical for improving maternal, newborn, child, and adolescent health. Integrated into existing health information systems, these stat"
108269,Canada,International Development Research Centre,"South Asia, regional",2016,0.00141467,0.000101931,Centre of Excellence for CRVS Systems Activity Budget Line: Building a Knowledge Base and Contributing to Global Tools and Standards,CENTRE OF EXCELLENCE FOR CRVS SYSTEMS ACTIVITY BUDGET LINE: BUILDING A KNOWLEDGE BASE AND CONTRIBUTING TO GLOBAL TOOLS AND STANDARDS,"Systematic registration of vital and civil events - including birth, death, causes of death, marriage, and divorce - is critical for improving maternal, newborn, child, and adolescent health. Integrated into existing health information systems, these stat"
108267,Canada,International Development Research Centre,"South of Sahara, regional",2016,0.0279759,0.000231855,Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems Communications and Evaluation Budget Line,CENTRE OF EXCELLENCE FOR CIVIL REGISTRATION AND VITAL STATISTICS (CRVS) SYSTEMS COMMUNICATIONS AND EVALUATION BUDGET LINE,"Systematic registration of vital and civil events - including birth, death, causes of death, marriage, and divorce - is critical for improving maternal, newborn, child, and adolescent health. Integrated into existing health information systems, these stat"
108267,Canada,International Development Research Centre,"South of Sahara, regional",2016,0.00377245,0.0005756,Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems Communications and Evaluation Budget Line,CENTRE OF EXCELLENCE FOR CIVIL REGISTRATION AND VITAL STATISTICS (CRVS) SYSTEMS COMMUNICATIONS AND EVALUATION BUDGET LINE,"Systematic registration of vital and civil events - including birth, death, causes of death, marriage, and divorce - is critical for improving maternal, newborn, child, and adolescent health. Integrated into existing health information systems, these stat"
108267,Canada,International Development Research Centre,"South Asia, regional",2016,0.000943112,0.000143881,Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems Communications and Evaluation Budget Line,CENTRE OF EXCELLENCE FOR CIVIL REGISTRATION AND VITAL STATISTICS (CRVS) SYSTEMS COMMUNICATIONS AND EVALUATION BUDGET LINE,"Systematic registration of vital and civil events - including birth, death, causes of death, marriage, and divorce - is critical for improving maternal, newborn, child, and adolescent health. Integrated into existing health information systems, these stat"
D002529001,Canada,Global Affairs Canada,Mozambique,2016,0,3.3952,"Vital Statistics in Support of Maternal, Newborn and Child Health / Statistiques de l'…tat civil en appui ‡ la santÈ des mËres, des nouveau-nÈs et des","VITAL STATISTICS IN SUPPORT OF MATERNAL, NEWBORN AND CHILD HEALTH / STATISTIQUES DE L'…TAT CIVIL EN APPUI ¿ LA SANT… DES M»RES, DES NOUVEAU-N…S ET DES",This project aims to increase civil and vital registration rates in Mozambique to ultimately inform and improve policies and programs that reduce maternal and child mortality. Project activities include: (1) establishing a continuous mortality survey system so that 60% of maternal and newborn deaths are notified by 2019; (2) certifying and determining 80% cause of deaths in hospitals; (3) developing a strategy to capture information about deaths at the community level; (4) supporting Parliament's amendment of the Civil Registration Code; and (5) designing and using new forms for all four vital events so that 80% of children under 5 are birth registered by 2019. / Ce projet vise ‡ accroitre le taux d'enregistrement des actes d'Ètat civil et des statistiques de l'Ètat civil au Mozambique en vue d'orienter et d'amÈliorer les politiques et les programmes qui rÈduisent la mortalitÈ des mËres et des enfants. Parmi les activitÈs du projet : 1) Ètablir un systËme de sondage continu sur la mortalitÈ afin que 60 % des dÈcËs de mËres et de nouveau-nÈs soient dÈclarÈs d'ici 2019; 2) attester et dÈterminer 80 % des causes de dÈcËs ‡ l'hÙpital; 3) Èlaborer une stratÈgie pour saisir des donnÈes sur les dÈcËs ‡ l'Èchelle communautaire; 4) appuyer la modification du Code d'enregistrement des actes d'Ètat civil par le Parlement; 5) Èlaborer et utiliser de nouveaux formulaires pour les quatre activitÈs des donnÈes de l'Ètat civil afin que la naissance de 80 % des enfants de moins de cinq ans soit enregistrÈe d'ici 2019.
D000168001,Canada,Global Affairs Canada,"America, regional",2016,0,0.905387,Canadian Fund for Civil Registration in Latin America and the Caribbean / Fonds canadien pour l'enregistrement civil en AmÈrique Latine et dans les Ca,CANADIAN FUND FOR CIVIL REGISTRATION IN LATIN AMERICA AND THE CARIBBEAN / FONDS CANADIEN POUR L'ENREGISTREMENT CIVIL EN AM…RIQUE LATINE ET DANS LES CA,"The purpose of this project is to better protect children and other vulnerable persons in Latin America and the Caribbean by supporting the birth registration of two million children under the age of five, thereby facilitating people's access to a legal identity. The project reinforces national registrars so they can register 95% of newborns each year and improve service delivery to vulnerable unregistered children in target countries. A birth certificate allows children to access health services and education, giving them the opportunity to achieve their full potential as active and productive citizens. Children are the primary beneficiaries of the project, but some activities are also aimed at vulnerable unregistered adults.   Project activities include the following: (1) improving governments' capacity to design and apply policies to facilitate inclusive civil registration, by developing national work plans, training registrars and providing technical assistance to the selected national governments; (2) improving registrars' capacity to register unregistered children in a timely and secure manner and to educate unregistered persons about their civil registration rights and responsibilities, by implementing tools to measure the level of service delivery to children, training officials in delivering services to everyone, and modernizing technological equipment to better protect personal information; (3) building governments' capacity to use international standards in managing civil registries and to recognize identity documents from other countries, by sharing best practices, training employees and translating key documents for dissemination.   The project is in keeping with Canada's priorities for strengthening child protection and supporting maternal, newborn and child health. / Ce projet vise ‡ amÈliorer la protection des enfants et d'autres personnes vulnÈrables en AmÈrique latine et dans les Caraibes par un appui ‡ l'enregistrement des naissances de deux millions d'enfants de moins de cinq ans, facilitant l'accËs des personnes ‡ une identitÈ juridique. Le projet renforce les registraires nationaux afin d'enregistrer 95 % des nouveau-nÈs chaque annÈe et d'amÈliorer la prestation des services aux enfants vulnÈrables non enregistrÈs dans les pays ciblÈs. Un certificat de naissance permet aux enfants de bÈnÈficier d'un accËs aux services de santÈ et ‡ l'Èducation, leur offrant l'opportunitÈ d'atteindre leur plein potentiel en tant que citoyens actifs et productifs. Les enfants sont les bÈnÈficiaires primaires du projet, mais certaines activitÈs s'adressent Ègalement aux adultes vulnÈrables non enregistrÈs.   Parmi les activitÈs du projet : 1) accroitre la capacitÈ des gouvernements ‡ concevoir et appliquer des politiques pour faciliter l'enregistrement civil inclusif par l'Èlaboration de plans de travail nationaux, la formation aux registraires et de l'assistance technique aux gouvernements nationaux sÈlectionnÈs; 2) accroitre la capacitÈ des r"
PBF/GNB/D-3,UN Peacebuilding Fund,UNPBF,Guinea-Bissau,2016,1,,†Promote Access to Protection and Civic Participation through Civil Registration,†PROMOTE ACCESS TO PROTECTION AND CIVIC PARTICIPATION THROUGH CIVIL REGISTRATION,Youth Empower/Employ-W2
2250/A0/05/009/020,UNICEF,UNICEF,CÙte d'Ivoire,2016,0.00335211,0.00335211,3.2.3 BIRTH REGISTRATION,3.2.3 BIRTH REGISTRATION,3.2.3 BIRTH REGISTRATION
1420/A0/05/133/004,UNICEF,UNICEF,Eritrea,2016,0.0158302,0.0158302,BIRTH REGISTRATION,BIRTH REGISTRATION,BIRTH REGISTRATION
0610/A0/08/123/004,UNICEF,UNICEF,Burundi,2016,0.0186736,0.0186736,BIRTH REGISTRATION,BIRTH REGISTRATION,BIRTH REGISTRATION
1410/A0/06/005/003,UNICEF,UNICEF,Ethiopia,2016,0.0640668,0.0640668,003 BIRTH REGISTRATION,003 BIRTH REGISTRATION,003 BIRTH REGISTRATION
1620/A0/04/001/005,UNICEF,UNICEF,Ghana,2016,0.0242343,0.0242343,OUTPUT 005 BIRTH REGISTRATION,OUTPUT 005 BIRTH REGISTRATION,OUTPUT 005 BIRTH REGISTRATION
3180/A0/06/886/004,UNICEF,UNICEF,Niger,2016,0.338407,0.338407,6.4 CIVIL REGISTRATION SERVICES,6.4 CIVIL REGISTRATION SERVICES,6.4 CIVIL REGISTRATION SERVICES
4980/A0/05/600/003,UNICEF,UNICEF,Zambia,2016,0.120415,0.120415,06-03 BIRTH REGISTRATION,06-03 BIRTH REGISTRATION,06-03 BIRTH REGISTRATION
20161110303,Korea,Ministry of Strategy and Finance,"Asia, regional",2016,0.260856,0.182599,(2016/17 KSP-WB Joint Consulting) Strengthening Civil Registration and Vital Statistics The Second Phase,(2016/17 KSP-WB JOINT CONSULTING) STRENGTHENING CIVIL REGISTRATION AND VITAL STATISTICS THE SECOND PHASE,Strengthening Civil Registration and Vital Statistics The Second Phase
100710/2016,Czech Republic,Ministry of Foreign Affairs,Tajikistan,2016,0.00319141,0.00319141,Regional project of the Czech UNDP trust fund,REGIONAL PROJECT OF THE CZECH UNDP TRUST FUND,Supporting reform of Civil Registration in Tajikistan
108245,Canada,International Development Research Centre,"Bilateral, unspecified",2016,0.00353908,0.00145808,Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems,CENTRE OF EXCELLENCE FOR CIVIL REGISTRATION AND VITAL STATISTICS (CRVS) SYSTEMS,"Registration of events, such as birth, death, causes of death, marriage, and divorce, is critical for improving maternal, newborn, child, and adolescent health. These statistics provide policymakers and practitioners with the necessary evidence to design"
108245,Canada,International Development Research Centre,"Bilateral, unspecified",2016,0.000339086,0.000110238,Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems,CENTRE OF EXCELLENCE FOR CIVIL REGISTRATION AND VITAL STATISTICS (CRVS) SYSTEMS,"Registration of events, such as birth, death, causes of death, marriage, and divorce, is critical for improving maternal, newborn, child, and adolescent health. These statistics provide policymakers and practitioners with the necessary evidence to design"
D001755001,Canada,Global Affairs Canada,Democratic Republic of the Congo,2016,0,1.58443,Increasing Birth Registration in the Democratic Republic of Congo (DRC) / Augmentation du taux d'enregistrement des naissances dans la RÈpublique dÈmo,INCREASING BIRTH REGISTRATION IN THE DEMOCRATIC REPUBLIC OF CONGO (DRC) / AUGMENTATION DU TAUX D'ENREGISTREMENT DES NAISSANCES DANS LA R…PUBLIQUE D…MO,"This project will contribute to the improved well-being of children and youth in the DRC by increasing birth registration and certification for children under 5 years old and improving government systems for birth registration, to make them more accessible particularly for vulnerable girls and boys. The project will ensure that 3.5 million children born in a health facility in target areas and an additional 60,000 children from vulnerable groups are registered and receive birth certificates. / Le projet contribuera ‡ l'amÈlioration du bien-Ítre des enfants et des jeunes de la RDC en appuyant l'augmentation du taux des enfants de moins de 5 ans, filles et garÁon, enregistrÈ ‡ l'Ètat civil et le taux des enfants avec un acte de naissance ainsi que le renforcement des systËmes pour l'enregistrement des naissances pour les rendre plus accessible, en particulier pour les filles et garÁon vulnÈrables."
108245,Canada,International Development Research Centre,"South Asia, regional",2016,0.000539493,0.000271874,Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems,CENTRE OF EXCELLENCE FOR CIVIL REGISTRATION AND VITAL STATISTICS (CRVS) SYSTEMS,"Registration of events, such as birth, death, causes of death, marriage, and divorce, is critical for improving maternal, newborn, child, and adolescent health. These statistics provide policymakers and practitioners with the necessary evidence to design"
108245,Canada,International Development Research Centre,"South Asia, regional",2016,0.00061564,0.000471131,Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems,CENTRE OF EXCELLENCE FOR CIVIL REGISTRATION AND VITAL STATISTICS (CRVS) SYSTEMS,"Registration of events, such as birth, death, causes of death, marriage, and divorce, is critical for improving maternal, newborn, child, and adolescent health. These statistics provide policymakers and practitioners with the necessary evidence to design"
108245,Canada,International Development Research Centre,"South Asia, regional",2016,0.000342798,0.000150493,Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems,CENTRE OF EXCELLENCE FOR CIVIL REGISTRATION AND VITAL STATISTICS (CRVS) SYSTEMS,"Registration of events, such as birth, death, causes of death, marriage, and divorce, is critical for improving maternal, newborn, child, and adolescent health. These statistics provide policymakers and practitioners with the necessary evidence to design"
108245,Canada,International Development Research Centre,"South Asia, regional",2016,0.00061024,0.000158443,Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems,CENTRE OF EXCELLENCE FOR CIVIL REGISTRATION AND VITAL STATISTICS (CRVS) SYSTEMS,"Registration of events, such as birth, death, causes of death, marriage, and divorce, is critical for improving maternal, newborn, child, and adolescent health. These statistics provide policymakers and practitioners with the necessary evidence to design"
108245,Canada,International Development Research Centre,"South Asia, regional",2016,0.000707786,0.0002916,Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems,CENTRE OF EXCELLENCE FOR CIVIL REGISTRATION AND VITAL STATISTICS (CRVS) SYSTEMS,"Registration of events, such as birth, death, causes of death, marriage, and divorce, is critical for improving maternal, newborn, child, and adolescent health. These statistics provide policymakers and practitioners with the necessary evidence to design"
108245,Canada,International Development Research Centre,"South Asia, regional",2016,6.78475e-05,2.20477e-05,Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems,CENTRE OF EXCELLENCE FOR CIVIL REGISTRATION AND VITAL STATISTICS (CRVS) SYSTEMS,"Registration of events, such as birth, death, causes of death, marriage, and divorce, is critical for improving maternal, newborn, child, and adolescent health. These statistics provide policymakers and practitioners with the necessary evidence to design"
108245,Canada,International Development Research Centre,"Bilateral, unspecified",2016,0.00394789,0.00261175,Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems,CENTRE OF EXCELLENCE FOR CIVIL REGISTRATION AND VITAL STATISTICS (CRVS) SYSTEMS,"Registration of events, such as birth, death, causes of death, marriage, and divorce, is critical for improving maternal, newborn, child, and adolescent health. These statistics provide policymakers and practitioners with the necessary evidence to design"
108245,Canada,International Development Research Centre,"Bilateral, unspecified",2016,0.00307828,0.00235581,Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems,CENTRE OF EXCELLENCE FOR CIVIL REGISTRATION AND VITAL STATISTICS (CRVS) SYSTEMS,"Registration of events, such as birth, death, causes of death, marriage, and divorce, is critical for improving maternal, newborn, child, and adolescent health. These statistics provide policymakers and practitioners with the necessary evidence to design"
108245,Canada,International Development Research Centre,"Bilateral, unspecified",2016,0.00269747,0.00135937,Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems,CENTRE OF EXCELLENCE FOR CIVIL REGISTRATION AND VITAL STATISTICS (CRVS) SYSTEMS,"Registration of events, such as birth, death, causes of death, marriage, and divorce, is critical for improving maternal, newborn, child, and adolescent health. These statistics provide policymakers and practitioners with the necessary evidence to design"
108245,Canada,International Development Research Centre,"Bilateral, unspecified",2016,0.00171399,0.000752539,Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems,CENTRE OF EXCELLENCE FOR CIVIL REGISTRATION AND VITAL STATISTICS (CRVS) SYSTEMS,"Registration of events, such as birth, death, causes of death, marriage, and divorce, is critical for improving maternal, newborn, child, and adolescent health. These statistics provide policymakers and practitioners with the necessary evidence to design"
108269,Canada,International Development Research Centre,"Bilateral, unspecified",2016,0.00707334,0.000509657,Centre of Excellence for CRVS Systems Activity Budget Line: Building a Knowledge Base and Contributing to Global Tools and Standards,CENTRE OF EXCELLENCE FOR CRVS SYSTEMS ACTIVITY BUDGET LINE: BUILDING A KNOWLEDGE BASE AND CONTRIBUTING TO GLOBAL TOOLS AND STANDARDS,"Systematic registration of vital and civil events - including birth, death, causes of death, marriage, and divorce - is critical for improving maternal, newborn, child, and adolescent health. Integrated into existing health information systems, these stat"
108267,Canada,International Development Research Centre,"South Asia, regional",2016,0.00699396,5.79448e-05,Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems Communications and Evaluation Budget Line,CENTRE OF EXCELLENCE FOR CIVIL REGISTRATION AND VITAL STATISTICS (CRVS) SYSTEMS COMMUNICATIONS AND EVALUATION BUDGET LINE,"Systematic registration of vital and civil events - including birth, death, causes of death, marriage, and divorce - is critical for improving maternal, newborn, child, and adolescent health. Integrated into existing health information systems, these stat"
